symbol,name,sector
OGDC,Oil & Gas Development Company Limited,Oil & Gas
PPL,Pakistan Petroleum Limited,Oil & Gas
PSO,Pakistan State Oil Company Limited,Oil & Gas
ENGRO,Engro Corporation Limited,Chemicals
FFC,Fauji Fertilizer Company Limited,Fertilizer
FFBL,Fauji Fertilizer Bin Qasim Limited,Fertilizer
LUCK,Lucky Cement Limited,Cement
DGKC,DG Khan Cement Company Limited,Cement
MLCF,Maple Leaf Cement Factory Limited,Cement
HBL,Habib Bank Limited,Banking
UBL,United Bank Limited,Banking
MCB,MCB Bank Limited,Banking
BAFL,Bank Alfalah Limited,Banking
ABL,Allied Bank Limited,Banking
MEBL,Meezan Bank Limited,Banking
HUBC,Hub Power Company Limited,Power
KEL,K-Electric Limited,Power
TRG,TRG Pakistan Limited,Technology
SYS,Systems Limited,Technology
AVN,Avanceon Limited,Technology
NESTLE,Nestle Pakistan Limited,Food
UNITY,Unity Foods Limited,Food
NATF,National Foods Limited,Food
MTL,Millat Tractors Limited,Automobile
INDU,Indus Motor Company Limited,Automobile
PSMC,Pak Suzuki Motor Company Limited,Automobile
SAZEW,Sazgar Engineering Works Limited,Automobile
ISL,International Steels Limited,Steel
AICL,Adamjee Insurance Company Limited,Insurance
ABOT,Abbott Laboratories Pakistan Limited,Pharma
GLAXO,GlaxoSmithKline Pakistan Limited,Pharma
FHAM,Fauji Meat Limited,Food
FLYNG,Flying Cement Company Limited,Cement
NCPL,Nishat Chunian Power Limited,Power
KAPCO,Kot Addu Power Company Limited,Power
SNGP,Sui Northern Gas Pipelines Limited,Oil & Gas
SSGC,Sui Southern Gas Company Limited,Oil & Gas
PIOC,Pioneer Cement Limited,Cement
EFOODS,English Biscuit Manufacturers Limited,Food
PKGS,Packages Limited,Paper & Board
CHCC,Cherat Cement Company Limited,Cement
FCCL,Fauji Cement Company Limited,Cement
TELE,Telecard Limited,Technology
JSCL,Jahangir Siddiqui & Company Limited,Investment
DAWH,Dawood Hercules Corporation Limited,Chemicals
PAEL,Pakistan Aluminium Beverage Cans Limited,Manufacturing
SEARL,The Searle Company Limited,Pharma
HASCOL,Hascol Petroleum Limited,Oil & Gas
APL,Attock Petroleum Limited,Oil & Gas
